Flow cell,Illumina lane,Lib,BCNumber,BC,Lib_BC,individual,slide ID,Testis Sample,,Testis slide ID,,Ind-Slide-sample,seqsample
FC1,WTCHG_98546,3,16,BC16,Lib 3_16,4,D,36,,Testis 4D,D36,4D36,WTCHG_98546_16
FC1,WTCHG_98546,3,17,BC17,Lib 3_17,4,E,1,,Testis 4E,E1,4.00E+01,WTCHG_98546_17
FC1,WTCHG_98546,3,18,BC18,Lib 3_18,4,E,2,,Testis 4E,E2,4.00E+02,WTCHG_98546_18
FC1,WTCHG_98547,4,1,BC1,Lib 4_1,4,E,4,,Testis 4E,E4,4.00E+04,WTCHG_98547_01
FC1,WTCHG_98547,4,2,BC2,Lib 4_2,4,E,5,,Testis 4E,E5,4.00E+05,WTCHG_98547_02
FC1,WTCHG_98547,4,3,BC3,Lib 4_3,4,E,6,,Testis 4E,E6,4.00E+06,WTCHG_98547_03
FC1,WTCHG_98547,4,4,BC4,Lib 4_4,4,E,7,,Testis 4E,E7,4.00E+07,WTCHG_98547_04
FC1,WTCHG_98547,4,5,BC5,Lib 4_5,4,E,8,,Testis 4E,E8,4.00E+08,WTCHG_98547_05
FC1,WTCHG_98547,4,6,BC6,Lib 4_6,4,E,9,,Testis 4E,E9,4.00E+09,WTCHG_98547_06
FC1,WTCHG_98547,4,7,BC7,Lib 4_7,4,E,10,,Testis 4E,E10,4.00E+10,WTCHG_98547_07
FC1,WTCHG_98547,4,8,BC8,Lib 4_8,4,E,11,,Testis 4E,E11,4.00E+11,WTCHG_98547_08
FC1,WTCHG_98547,4,9,BC9,Lib 4_9,4,E,12,,Testis 4E,E12,4.00E+12,WTCHG_98547_09
FC1,WTCHG_98547,4,10,BC10,Lib 4_10,4,E,13,,Testis 4E,E13,4.00E+13,WTCHG_98547_10
FC1,WTCHG_98547,4,11,BC11,Lib 4_11,4,E,14,,Testis 4E,E14,4.00E+14,WTCHG_98547_11
FC1,WTCHG_98547,4,12,BC12,Lib 4_12,4,E,15,,Testis 4E,E15,4.00E+15,WTCHG_98547_12
FC1,WTCHG_98547,4,13,BC13,Lib 4_13,4,E,16,,Testis 4E,E16,4.00E+16,WTCHG_98547_13
FC1,WTCHG_98547,4,14,BC14,Lib 4_14,4,E,17,,Testis 4E,E17,4.00E+17,WTCHG_98547_14
FC1,WTCHG_98547,4,15,BC15,Lib 4_15,4,E,18,,Testis 4E,E18,4.00E+18,WTCHG_98547_15
FC1,WTCHG_98547,4,16,BC16,Lib 4_16,4,E,19,,Testis 4E,E19,4.00E+19,WTCHG_98547_16
FC1,WTCHG_98547,4,17,BC17,Lib 4_17,4,E,20,,Testis 4E,E20,4.00E+20,WTCHG_98547_17
FC1,WTCHG_98547,4,18,BC18,Lib 4_18,4,E,21,,Testis 4E,E21,4.00E+21,WTCHG_98547_18
FC1,WTCHG_98548,5,1,BC1,Lib 5_1,4,E,22,,Testis 4E,E22,4.00E+22,WTCHG_98548_01
FC1,WTCHG_98548,5,2,BC2,Lib 5_2,4,E,23,,Testis 4E,E23,4.00E+23,WTCHG_98548_02
FC1,WTCHG_98548,5,3,BC3,Lib 5_3,4,E,24,,Testis 4E,E24,4.00E+24,WTCHG_98548_03
FC1,WTCHG_98548,5,4,BC4,Lib 5_4,4,E,25,,Testis 4E,E25,4.00E+25,WTCHG_98548_04
FC1,WTCHG_98548,5,5,BC5,Lib 5_5,4,F,1,,Testis 4F,F1,4F1,WTCHG_98548_05
FC1,WTCHG_98548,5,6,BC6,Lib 5_6,4,F,4,,Testis 4F,F4,4F4,WTCHG_98548_06
FC1,WTCHG_98548,5,7,BC7,Lib 5_7,4,F,5,,Testis 4F,F5,4F5,WTCHG_98548_07
FC1,WTCHG_98548,5,8,BC8,Lib 5_8,4,F,6,,Testis 4F,F6,4F6,WTCHG_98548_08
FC1,WTCHG_98548,5,9,BC9,Lib 5_9,4,F,14,,Testis 4F,F14,4F14,WTCHG_98548_09
FC1,WTCHG_98548,5,10,BC10,Lib 5_10,4,F,8,,Testis 4F,F8,4F8,WTCHG_98548_10
FC1,WTCHG_98548,5,11,BC11,Lib 5_11,4,F,9,,Testis 4F,F9,4F9,WTCHG_98548_11
